 2015-10-13 22:19:13,617 [P5040/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on MANTUS-PC
 2015-10-13 22:19:15,661 [P5040/D2/T1] INFO  umbraco.content - Load Xml from file...
 2015-10-13 22:19:15,670 [P5040/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2015-10-13 22:19:15,673 [P5040/D2/T1] INFO  umbraco.content - Loading content from database...
 2015-10-13 22:19:18,312 [P5040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2015-10-13 22:19:18,328 [P5040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 15ms)
 2015-10-13 22:19:18,580 [P5040/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-10-13 22:19:18,591 [P5040/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-10-13 22:19:18,591 [P5040/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2015-10-13 22:19:18,600 [P5040/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 5074ms)
 2015-10-13 22:19:19,935 [P5040/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:2358/umbraco (UmbracoModule request)
 2015-10-13 22:19:20,191 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2015-10-13 22:19:20,199 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 7ms)
 2015-10-13 22:19:22,056 [P5040/D2/T8] INFO  umbraco.content - Save Xml to file...
 2015-10-13 22:19:22,085 [P5040/D2/T10] INFO  umbraco.content - Saved Xml to file.
 2015-10-13 22:19:32,723 [P5040/D2/T7] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2015-10-13 22:19:48,696 [P5040/D2/T7] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2015-10-13 22:19:55,639 [P5040/D2/T7] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username tim@nibble.be from IP address ::1
 2015-10-13 22:19:55,779 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-13 22:19:55,785 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 6ms)
 2015-10-13 22:19:55,939 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2015-10-13 22:19:55,947 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 7ms)
 2015-10-13 22:19:55,965 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-13 22:19:55,965 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-13 22:19:55,969 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2015-10-13 22:19:55,989 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 19ms)
 2015-10-13 22:19:56,009 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2015-10-13 22:19:56,020 [P5040/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 10ms)
 2015-10-13 22:20:31,805 [P1956/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on MANTUS-PC
 2015-10-13 22:20:31,836 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-10-13 22:20:31,849 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 12ms)
 2015-10-13 22:20:31,962 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-10-13 22:20:32,279 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 317ms)
 2015-10-13 22:20:32,292 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-10-13 22:20:32,297 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
 2015-10-13 22:20:32,297 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-10-13 22:20:32,303 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 5ms)
 2015-10-13 22:20:32,317 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-10-13 22:20:32,321 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 3ms)
 2015-10-13 22:20:32,321 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-10-13 22:20:32,327 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2015-10-13 22:20:32,372 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-10-13 22:20:32,377 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 4ms)
 2015-10-13 22:20:32,377 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-10-13 22:20:32,382 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 4ms)
 2015-10-13 22:20:32,991 [P1956/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-13 22:20:33,291 [P1956/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-13 22:20:33,370 [P1956/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-13 22:20:33,413 [P1956/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2015-10-13 22:20:33,458 [P1956/D2/T1] INFO  umbraco.content - Load Xml from file...
 2015-10-13 22:20:33,463 [P1956/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2015-10-13 22:20:33,492 [P1956/D2/T1] INFO  umbraco.content - Loading content from database...
 2015-10-13 22:20:35,936 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2015-10-13 22:20:35,954 [P1956/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 17ms)
 2015-10-13 22:20:36,193 [P1956/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-10-13 22:20:36,204 [P1956/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-10-13 22:20:36,205 [P1956/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2015-10-13 22:20:36,216 [P1956/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4485ms)
 2015-10-13 22:20:37,280 [P1956/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:2358/umbraco (UmbracoModule request)
 2015-10-13 22:20:37,508 [P1956/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2015-10-13 22:20:37,516 [P1956/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 8ms)
 2015-10-13 22:20:39,741 [P1956/D2/T8] INFO  umbraco.content - Save Xml to file...
 2015-10-13 22:20:39,796 [P1956/D2/T10] INFO  umbraco.content - Saved Xml to file.
 2015-10-13 22:20:49,579 [P1956/D2/T7] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
